Giocatore;Ruolo;Squadra_giocatore;Cartellini Gialli_per90;Cartellini Rossi_per90;Falli_per90;Fallo Subito_per90;Intercettazioni_per90;Tackle Vinti_per90;Recupero Palla_per90;Aerei Vinti_per90;Aerei Persi_per90;Minuti Giocati
Magnus Kofod Andersen;Cen;Venezia;0.12987012987012986;0.0;0.9090909090909091;0.6493506493506493;0.7792207792207793;0.5194805194805194;4.025974025974026;1.0389610389610389;0.9090909090909091;7.7
Malick Thiaw;Dif;Milan;0.10989010989010989;0.0;1.208791208791209;0.27472527472527475;0.7692307692307693;0.8241758241758242;3.296703296703297;2.4725274725274726;1.4835164835164836;18.2
Mandela Keita;Cen;Parma;0.4545454545454546;0.07575757575757576;1.4393939393939394;1.893939393939394;0.7575757575757576;1.3636363636363638;4.924242424242425;0.8333333333333334;0.7575757575757576;13.2
Manu Koné;Cen;Roma;0.23923444976076558;0.0;1.1004784688995215;2.966507177033493;0.6220095693779905;0.9090909090909092;4.114832535885168;0.6220095693779905;1.244019138755981;20.9
Manuel Lazzari;Dif;Lazio;0.14492753623188406;0.0;0.7246376811594203;1.7391304347826086;0.5072463768115941;0.9420289855072463;3.043478260869565;0.36231884057971014;0.9420289855072463;13.8
Manuel Locatelli;Cen;Juventus;0.25316455696202533;0.0;1.6033755274261603;0.6751054852320675;0.8438818565400844;1.3080168776371308;4.472573839662448;1.1814345991561181;0.6751054852320675;23.7
Marc-Oliver Kempf;Dif;Como;0.2262443438914027;0.04524886877828054;0.6787330316742081;0.6334841628959276;1.3122171945701357;0.7239819004524887;3.619909502262443;3.4841628959276014;1.4479638009049773;22.1
Marco Brescianini;Cen;Atalanta;0.10869565217391305;0.0;2.065217391304348;0.6521739130434783;0.2173913043478261;0.8695652173913044;4.347826086956522;0.9782608695652175;0.9782608695652175;9.2
Marco Carnesecchi;Por;Atalanta;0.037037037037037035;0.0;0.0;0.14814814814814814;0.0;0.0;1.7037037037037037;0.2222222222222222;0.0;27.0
Marco Palestra;Dif;Atalanta;0.0;0.0;0.8333333333333334;5.0;0.0;3.3333333333333335;1.6666666666666667;0.8333333333333334;0.8333333333333334;1.2
Marco Sala;Dif;Como;1.0344827586206897;0.0;1.7241379310344829;0.3448275862068966;0.3448275862068966;2.0689655172413794;3.793103448275862;0.3448275862068966;0.6896551724137931;2.9
Marco Silvestri;Por;Empoli;0.0;0.0;0.0;0.0;0.0;0.0;1.2;0.2;0.0;5.0
Marco Sportiello;Por;Milan;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
Marcus Pedersen;Dif;Torino;0.2362204724409449;0.0;1.1811023622047245;0.3937007874015748;0.9448818897637796;0.3937007874015748;2.440944881889764;0.4724409448818898;1.3385826771653544;12.7
Marcus Thuram;Att;Inter;0.04310344827586207;0.0;1.120689655172414;1.4224137931034484;0.12931034482758622;0.4310344827586207;2.844827586206897;1.7241379310344829;1.3793103448275863;23.2
Marin Pongračić;Dif;Fiorentina;0.32608695652173914;0.10869565217391305;1.4130434782608696;0.32608695652173914;0.8695652173913044;1.1956521739130437;4.673913043478262;1.7391304347826089;0.7608695652173914;9.2
Marin Šverko;Dif;Venezia;0.25862068965517243;0.0;0.7758620689655172;0.6896551724137931;1.3793103448275863;0.5172413793103449;3.6206896551724137;1.5517241379310345;1.5517241379310345;11.6
Mario Balotelli;Att.Cen;Genoa;2.857142857142857;0.0;2.857142857142857;2.857142857142857;0.0;0.0;1.4285714285714286;2.857142857142857;2.857142857142857;0.7
Mario Gila;Dif;Lazio;0.24793388429752067;0.0;0.9917355371900827;1.115702479338843;0.8677685950413223;1.2396694214876034;4.710743801652892;2.31404958677686;2.1487603305785123;24.2
Mario Hermoso;Dif;Roma;0.7142857142857143;0.35714285714285715;2.5;0.35714285714285715;1.4285714285714286;0.35714285714285715;3.928571428571429;1.0714285714285714;1.7857142857142858;2.8
Mario Pašalić;Cen;Atalanta;0.05649717514124294;0.0;0.8474576271186441;0.4519774011299435;0.6779661016949153;0.7909604519774012;5.423728813559323;1.4689265536723164;1.1864406779661016;17.7
Marko Arnautović;Att;Inter;0.30303030303030304;0.0;1.2121212121212122;0.9090909090909092;0.30303030303030304;1.5151515151515151;2.121212121212121;2.121212121212121;0.9090909090909092;3.3
Marten de Roon;Cen.Dif;Atalanta;0.18518518518518517;0.0;1.4814814814814814;0.5925925925925926;1.2592592592592593;1.3703703703703705;4.444444444444445;1.3333333333333333;0.9259259259259259;27.0
Martin Erlic;Dif;Bologna;0.0;0.0;1.5625;2.1875;0.625;0.0;2.8125;2.8125;2.5;3.2
Martin Frese;Dif;Hellas Verona;0.0;0.0;1.8918918918918919;1.8918918918918919;1.6216216216216215;1.8918918918918919;1.8918918918918919;1.8918918918918919;1.8918918918918919;3.7
